label,z,x,y,cell_properties,cell_type
2433,106.1629670736219,282.07454679985204,55.83814280429153,"Lhx2-, HnF4a-",2
2434,105.75069252077564,303.70046970974346,262.29242442490664,"Lhx2-, HnF4a-",2
2435,104.84808171991924,319.5360494120442,173.23209407293027,"Lhx2-, HnF4a-",2
2436,105.47418722430976,327.56796275118444,772.1148505146218,"Lhx2-, HnF4a+",1
2437,105.0161502347418,343.8745539906103,166.65971830985916,"Lhx2-, HnF4a-",2
2438,110.5671173819322,361.5786792083088,730.6353125612385,"Lhx2+, HnF4a-",0
2439,105.1259982253771,363.3624667258208,252.69010647737355,"Lhx2-, HnF4a-",2
2440,105.08306947289998,394.0970385546657,509.8226857887875,"Lhx2-, HnF4a-",2
2441,104.77735849056604,410.34150943396224,781.7638364779874,"Lhx2-, HnF4a-",2
2442,106.1184971098266,1.2789017341040465,63.14161849710983,"Lhx2-, HnF4a-",2
2443,106.91888888888889,4.438666666666666,177.3551111111111,"Lhx2-, HnF4a-",2
2444,106.21490231712858,27.36971830985916,763.233870967742,"Lhx2-, HnF4a-",2
2446,106.1700204141149,84.4355497229513,540.7500729075532,"Lhx2+, HnF4a-",0
2447,106.4840111766532,91.61704439615026,601.1057125116423,"Lhx2-, HnF4a-",2
2448,105.1329963898917,92.73039711191336,447.9530685920578,"Lhx2-, HnF4a-",2
2449,106.7582944367352,108.77280181657626,378.0151381354863,"Lhx2-, HnF4a-",2
2450,108.00019297568508,114.38691624855268,40.51775376302586,"Lhx2-, HnF4a+",1
2451,106.8435914405471,122.84337083609088,661.4634899624972,"Lhx2-, HnF4a-",2
2452,106.1869918699187,150.04357723577235,405.2377235772358,"Lhx2-, HnF4a-",2
2453,108.66898332009532,160.31930103256553,398.1193407466243,"Lhx2-, HnF4a-",2
2454,106.73559236099376,159.2117627175934,160.65607571404428,"Lhx2-, HnF4a-",2
2455,106.37633707278894,162.13683798591182,781.3242890686147,"Lhx2-, HnF4a-",2
2456,107.05110809588422,184.8285843509724,232.71867933061964,"Lhx2+, HnF4a-",0
2457,107.8240945417446,187.1220880802585,121.5065465056963,"Lhx2-, HnF4a+",1
2458,106.43111350768402,201.1145861418172,768.0819627932057,"Lhx2-, HnF4a-",2
2459,106.0408550467999,241.77611940298507,608.5,"Lhx2+, HnF4a-",0
2460,107.56010928961749,245.03336645139925,430.8026991223713,"Lhx2-, HnF4a+",1
2461,106.86854304635762,265.8725165562914,401.6395143487859,"Lhx2-, HnF4a-",2
2462,106.0869708994709,287.41898148148147,213.7099867724868,"Lhx2-, HnF4a-",2
2463,106.33190447030006,308.5214329454991,82.98652786282915,"Lhx2-, HnF4a-",2
2464,106.30795968022244,320.02606882168925,501.5321515467501,"Lhx2-, HnF4a+",1
2465,106.25374746792708,329.1399729912221,710.7725860904794,"Lhx2+, HnF4a-",0
2466,106.22856109033891,380.8193221565553,712.1752502713786,"Lhx2-, HnF4a-",2
2467,106.74184694866,488.5311591863093,783.7395866968034,"Lhx2+, HnF4a-",0
2468,106.1132882080513,3.5001781261132883,140.91164944780903,"Lhx2-, HnF4a-",2
2469,107.18475517415446,2.552751135790005,495.4957092377587,"Lhx2-, HnF4a-",2
2470,106.7703342806875,10.251725537961835,585.622547029368,"Lhx2+, HnF4a-",0
2471,107.33117350611953,9.505039596832251,260.5153587712983,"Lhx2-, HnF4a-",2
2472,104.2501137915339,31.64565316340464,523.8319299044151,"Lhx2+, HnF4a-",0
2473,107.0967210111742,34.771753068327534,585.298772668987,"Lhx2-, HnF4a-",2
2474,108.76249543962058,46.88398394746443,676.3301714702664,"Lhx2-, HnF4a-",2
2475,108.37209577999052,52.70104314841157,208.91939307728785,"Lhx2-, HnF4a+",1
2476,107.15960868399893,72.56325381935137,707.8994907531493,"Lhx2-, HnF4a-",2
2477,108.70559181513494,75.51367084141825,681.1342388428294,"Lhx2+, HnF4a-",0
2478,107.64014014014016,83.59584584584584,108.35585585585584,"Lhx2-, HnF4a-",2
2479,106.5731728288908,99.34548581255376,9.040068787618228,"Lhx2-, HnF4a-",2
2480,106.58356581283287,100.09218868881564,232.72837940654324,"Lhx2-, HnF4a+",1
2481,108.1345930714404,103.635670479032,530.4354384220122,"Lhx2-, HnF4a-",2
2482,107.0811320754717,123.5311320754717,797.3858490566038,"Lhx2-, HnF4a-",2
2483,107.17993079584777,141.2260257043994,468.372343054869,"Lhx2-, HnF4a-",2
2484,108.6304347826087,148.09782608695653,84.90217391304348,"Lhx2+, HnF4a-",0
2485,107.0288238028824,169.452580195258,330.0235936773594,"Lhx2-, HnF4a-",2
2486,107.653937240971,172.03049141503848,213.80136175251627,"Lhx2-, HnF4a-",2
2487,108.08200599274562,177.2058035010251,676.3163538873995,"Lhx2+, HnF4a-",0
2488,107.45774647887325,187.2589382448537,249.56121343445287,"Lhx2-, HnF4a-",2
2489,108.88349241998876,204.8542953396968,689.6259124087592,"Lhx2+, HnF4a-",0
2490,107.5243333954876,216.4516129032258,431.7352228230468,"Lhx2-, HnF4a-",2
2491,107.46749076898378,234.1340504093755,541.3616952961952,"Lhx2-, HnF4a-",2
2492,107.43659281894575,241.3873185637892,750.5119684237332,"Lhx2-, HnF4a-",2
2493,107.18771744062926,248.6584480411436,284.4403267281803,"Lhx2-, HnF4a-",2
